path,bytes,sha256
00_M0_HANDOFF.html,3364,eb08426bb0a6290dc6f62b5c898782702ce9af7e138a6aa77e761f1813ebd022
ASSUMPTION_NOTICE.md,987,f58ef85531cd0f19766bfb6270dc2cff316016e555f749c370e9a76f35a0010c
M0_DECISION_RECORD.md,2658,30a59a88bb3667abdebcb8c89f77a73438fea3f6dddf10a4f71a79959720b2d4
M0_EXIT_REPORT.md,5775,42c152db0d5865da10c3b5ce16db752dac4cdb7c84c47534b0f4c82fe3d98cd1
README.md,2384,5968dac9eeca8eaccff7a7fa3c62207a3d50eeec919a734c67be8f53672614c5
contracts/invoice.schema.json,22855,994524f755699961b37436acb07fd3d3f645f498afbcd07f1a24095bce4cdd1d
contracts/region_profile.schema.json,2183,418f195bd77db4fcd9649c01a4da5f90769196fc111a5aedf018f8a44c455aab
evaluation/existing_acceptance_criteria.md,2165,5434de056a78c67b0d27466591bb4c6ce82b10c4ae22490728346e5b9685e85f
evaluation/existing_test_cases.csv,1680,b222f5011baddb323e5917ef0703554ba5e40d8a35856716bf4427276c52ee28
m1/M1_DEFINITION_OF_DONE.md,2045,9e4d084f0191e246bd015cc20a7ce8f67ddbd01d8e5b18efcaa100a5d29508d5
m1/M1_DEFINITION_OF_READY.md,1776,a03db711c751570fa05abdf552c06894d2da03b284b63ef3d7369f0094dd978e
m1/M1_HANDOFF.md,2774,7c7837fb2b61104f98cac1007f77debcece27ec389028855a141fed264e2f00e
m1/fixture_manifest.csv,1456,c04f0aea62c5d6ccdaccf50d63847452bbb007a9b2b8c408f6b1f92a17d81a40
pilot/BLOCKING_ERRORS_V1.yaml,2127,997effe39b2233a54ee13888fa5cff5fda0060c8710afc98e688babc0f2939ed
pilot/CAPABILITY_BASELINE_V1.csv,1038,414beadf34a484b283504baf9ff32cb46ce0eb908341630b4ddd7c75b6a5f736
pilot/CORPUS_AND_HOLDOUT_PLAN.md,1763,a8bd5a69a55777217d633e226969e4f0851816f3d4d1ed02e38fb216dfe1d485
pilot/PILOT_PROFILE_V1.md,2662,dca29614be4dfc319e5cfba0f4c8dc2913e9afb07596477d1aeaa0e1bea9398f
pilot/PILOT_TEAMS_AND_DATA_TERMS.md,956,25255df5b227d65ceb826b876915d450682481e4474216fa207a64b347d86aea
pilot/REQUIRED_FIELDS_V1.yaml,1951,a5eb5692e90d126c2121c6c1414e8f074d8d3dea8cfa9a058d61ab0ac17af619
pilot/SECURITY_RETENTION_DECISION.md,1960,9fc271b220332ca7ca29f0dfc61601298ea77764f97af827b2b675a8539ccbba
planning/m0_exit_gate_checklist.csv,806,e7e5a3941e7d0cee9c1b896af43ec355296d61f1f28de0fb5b03ad732e0109bc
planning/m1_execution_order.csv,676,df3a1398a3f532b9c7e6327ef53b8a3f03ba6c8c3256a050afede944a80c1765
planning/mvp_issues_status.csv,9292,e6bd627e867925dbeb0f4a69b882606f27e1f8df29c2966e4a4a09c6218113f4
project-docs/01_PRODUCT_BRIEF.md,2202,6c85b68402b20fbd8c12eba5a5c018867cfcf07ffc3f6a261f945e54b7e06b99
project-docs/08_DELIVERY_PLAN_STATUS.md,705,6b382560c98ea2d330deb64f39696bc16d42ae7193f4a24899608bf8b5419f6a
project-docs/09_BUSINESS_VALIDATION.md,1870,69fc42b8ac7d1cde93bda59edb2c08f188d63e74419ceba79939e4c8c3bbda09
project-docs/15_FORMAT_SUPPORT_MATRIX.md,1129,78d2dbafadb9629c87601cdcfba448ff82ae44c5feaeac10f734987ff7b5eeb2
reference/field_dictionary.yaml,1147,818b6dfa4119ab0a1eff5fb9c5d169a02c347be4790d0a1313af5c6b9eaaa3b3
reference/validation_rules.yaml,1934,08ccfefaf57061a051c5ce096d21dfec263ce4b96e367e921ec42d969e9c7031
research/M0_INTERVIEW_SYNTHESIS.md,2549,ea263e3aa0073cb6a05f9dfef8284cd045290a2da9bf358a970c3d5fe9a528c9
research/baseline_metrics.json,534,0441481c95c850ceadc574c14e7df1a6f51f2e209b44941e26159b08b8301c21
research/interview_summary.csv,1057,82a90ccfc672b4caa3268f57c949e5e553c34cf6741a91e6f9714c948e26373d
samples/canonical_invoice.json,4772,49f02bbb8357db917058c41a19403259421d4445351b5105b3c0f90bfaa6827b
samples/canonical_invoice_jpy.json,3171,16351881c2d73ca93d48d20cc335ac47532ef27a191128e4efc34d72de7714e6
